arm,a,c,E_bind_tag,tau_ps,E0_eV,n,weight,mean_KE_eV
linq,35.0,0.0,eb0482,4.8,0.37,0,0.1242,0.7999
linq,35.0,0.0,eb0482,4.8,0.37,1,0.1759,0.7027
linq,35.0,0.0,eb0482,4.8,0.37,2,0.1274,0.6322
linq,35.0,0.0,eb0482,4.8,0.37,3,0.1026,0.58
linq,35.0,0.0,eb0482,4.8,0.37,4,0.0719,0.5386
linq,35.0,0.0,eb0482,4.8,0.37,5,0.0616,0.5033
linq,35.0,0.0,eb0482,4.8,0.37,6,0.0595,0.4681
linq,35.0,0.0,eb0482,4.8,0.37,7,0.0492,0.4308
linq,35.0,0.0,eb0482,4.8,0.37,8,0.0432,0.393
linq,35.0,0.0,eb0482,4.8,0.37,9,0.0359,0.3538
linq,35.0,0.0,eb0482,4.8,0.37,10,0.0313,0.3154
linq,35.0,0.0,eb0482,4.8,0.37,11,0.0241,0.277
linq,35.0,0.0,eb0482,4.8,0.37,12,0.022,0.2388
linq,35.0,0.0,eb0482,4.8,0.37,13,0.0173,0.2014
linq,35.0,0.0,eb0482,4.8,0.37,14,0.0151,0.1644
linq,35.0,0.0,eb0482,4.8,0.37,15,0.0121,0.1288
linq,35.0,0.0,eb0482,4.8,0.37,16,0.0091,0.0949
linq,35.0,0.0,eb0482,4.8,0.37,17,0.0078,0.0652
linq,35.0,0.0,eb0482,4.8,0.37,18,0.0056,0.037
linq,35.0,0.0,eb0482,4.8,0.37,19,0.0038,0.0159
linq,35.0,0.0,eb0482,4.8,0.37,20,0.0006,0.0062
linq,35.0,0.0,eb0482,6.4,0.3,0,0.026,0.8763
linq,35.0,0.0,eb0482,6.4,0.3,1,0.1873,0.7688
linq,35.0,0.0,eb0482,6.4,0.3,2,0.1763,0.669
linq,35.0,0.0,eb0482,6.4,0.3,3,0.1397,0.5921
linq,35.0,0.0,eb0482,6.4,0.3,4,0.0927,0.5316
linq,35.0,0.0,eb0482,6.4,0.3,5,0.0792,0.4806
linq,35.0,0.0,eb0482,6.4,0.3,6,0.0656,0.4323
linq,35.0,0.0,eb0482,6.4,0.3,7,0.0528,0.3835
linq,35.0,0.0,eb0482,6.4,0.3,8,0.0415,0.3359
linq,35.0,0.0,eb0482,6.4,0.3,9,0.0335,0.2914
linq,35.0,0.0,eb0482,6.4,0.3,10,0.0261,0.2462
linq,35.0,0.0,eb0482,6.4,0.3,11,0.0212,0.2051
linq,35.0,0.0,eb0482,6.4,0.3,12,0.0165,0.1654
linq,35.0,0.0,eb0482,6.4,0.3,13,0.0127,0.1297
linq,35.0,0.0,eb0482,6.4,0.3,14,0.0094,0.0972
linq,35.0,0.0,eb0482,6.4,0.3,15,0.0074,0.0694
linq,35.0,0.0,eb0482,6.4,0.3,16,0.0058,0.0439
linq,35.0,0.0,eb0482,6.4,0.3,17,0.0041,0.023
linq,35.0,0.0,eb0482,6.4,0.3,18,0.0022,0.0097
linq,35.0,0.0,eb1168,4.8,0.37,0,0.1217,0.7642
linq,35.0,0.0,eb1168,4.8,0.37,1,0.1763,0.6671
linq,35.0,0.0,eb1168,4.8,0.37,2,0.1292,0.5958
linq,35.0,0.0,eb1168,4.8,0.37,3,0.1034,0.5429
linq,35.0,0.0,eb1168,4.8,0.37,4,0.0727,0.501
linq,35.0,0.0,eb1168,4.8,0.37,5,0.063,0.4651
linq,35.0,0.0,eb1168,4.8,0.37,6,0.0608,0.4285
linq,35.0,0.0,eb1168,4.8,0.37,7,0.05,0.3907
linq,35.0,0.0,eb1168,4.8,0.37,8,0.0434,0.3527
linq,35.0,0.0,eb1168,4.8,0.37,9,0.0368,0.3132
linq,35.0,0.0,eb1168,4.8,0.37,10,0.0316,0.2746
linq,35.0,0.0,eb1168,4.8,0.37,11,0.0253,0.2359
linq,35.0,0.0,eb1168,4.8,0.37,12,0.0218,0.1971
linq,35.0,0.0,eb1168,4.8,0.37,13,0.0184,0.1594
linq,35.0,0.0,eb1168,4.8,0.37,14,0.0153,0.1221
linq,35.0,0.0,eb1168,4.8,0.37,15,0.0121,0.0874
linq,35.0,0.0,eb1168,4.8,0.37,16,0.0088,0.0563
